"name","results","se","(lower","upper)","missInfo","race","percentile"
"2:networth.0.83",339798,30622.39944105,278686.773237139,400909.226762861,"26 %","Black",0.83
"3:networth.0.83",347492,53594.8191641487,241690.802674213,453293.197325787,"16 %","Latino",0.83
"1:networth.0.84",1444848,111885.985431719,1155180.91295698,1734515.08704302,"93 %","white",0.84
"2:networth.0.84",368408,29605.4635657771,309647.290153216,427168.709846784,"22 %","Black",0.84
"3:networth.0.84",375810,60338.3113426654,256798.328423377,494821.671576623,"15 %","Latino",0.84
"1:networth.0.85",1555402,127510.169591127,1248077.66453335,1862726.33546665,"84 %","white",0.85
"2:networth.0.85",388454,29193.273672318,328940.924134675,447967.075865325,"39 %","Black",0.85
"3:networth.0.85",410894,55822.7407960987,301476.17359641,520311.82640359,"1 %","Latino",0.85
"1:networth.0.86",1721780.2,148495.292373149,1345353.08659337,2098207.31340663,"90 %","white",0.86
"2:networth.0.86",409610,34977.6846782474,334527.497394744,484692.502605256,"59 %","Black",0.86
"3:networth.0.86",421628,49804.6362530111,324012.093317729,519243.906682271,"0 %","Latino",0.86
"1:networth.0.87",1921638,163914.57831677,1555353.5915671,2287922.4084329,"70 %","white",0.87
"2:networth.0.87",439132,34377.5276410688,369200.915835996,509063.084164004,"38 %","Black",0.87
"3:networth.0.87",459508,40415.7577578454,380274.164860642,538741.835139358,"3 %","Latino",0.87
"1:networth.0.88",2116740,102901.190095006,1902075.36836145,2331404.63163855,"50 %","white",0.88
"2:networth.0.88",462430,36177.5255861134,389960.985642399,534899.014357601,"29 %","Black",0.88
"3:networth.0.88",486728,31545.6141207056,424876.620650437,548579.379349563,"4 %","Latino",0.88
"1:networth.0.89",2295918,89509.011081034,2107777.64215621,2484058.35784379,"52 %","white",0.89
"2:networth.0.89",486280,40578.5299136139,404792.799845098,567767.200154902,"31 %","Black",0.89
"3:networth.0.89",499116,28539.5806883342,443178.596430421,555053.403569579,"1 %","Latino",0.89
"1:networth.0.9",2528986,112039.496345385,2299895.73202511,2758076.26797489,"41 %","white",0.9
"2:networth.0.9",516252,47512.8207765866,422022.754614993,610481.245385007,"21 %","Black",0.9
"3:networth.0.9",518844,43922.4597411428,432673.474821321,605014.525178679,"6 %","Latino",0.9
"1:networth.0.91",2755490,120928.21972401,2500200.80587673,3010779.19412327,"54 %","white",0.91
"2:networth.0.91",547484,58243.9094966062,432902.3825118,662065.6174882,"12 %","Black",0.91
"3:networth.0.91",548394,68370.9939732137,414264.618284614,682523.381715386,"6 %","Latino",0.91
"1:networth.0.92",3071500,162059.013559292,2699252.41846046,3443747.58153954,"75 %","white",0.92
"2:networth.0.92",637080,74027.9096705401,490769.076896925,783390.923103075,"18 %","Black",0.92
"3:networth.0.92",626764,90021.2180237393,450128.581873204,803399.418126796,"6 %","Latino",0.92
"1:networth.0.93",3552310,263938.417119372,2979014.81922003,4125605.18077997,"63 %","white",0.93
"2:networth.0.93",684360,69978.9567184616,547201.929012454,821518.070987546,"1 %","Black",0.93
"3:networth.0.93",689362,96753.9985130211,499664.481189851,879059.518810149,"3 %","Latino",0.93
"1:networth.0.94",4266202,243197.403651624,3744350.80083893,4788053.19916107,"59 %","white",0.94
"2:networth.0.94",747692,73486.0163267348,603569.942315161,891814.057684839,"5 %","Black",0.94
"3:networth.0.94",793248,111351.925196458,574210.094518324,1012285.90548168,"11 %","Latino",0.94
"1:networth.0.95",4988720,215731.382857711,4554873.10456078,5422566.89543922,"32 %","white",0.95
"2:networth.0.95",835172,90910.8526974856,656512.937093735,1013831.06290626,"10 %","Black",0.95
"3:networth.0.95",893196,142040.791607416,612196.210178127,1174195.78982187,"19 %","Latino",0.95
"1:networth.0.96",6302600,366933.907638186,5581781.40653791,7023418.5934621,"9 %","white",0.96
